Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
03/31/2008,9.71,1.66,28.00,0.00,23.50,33.89,3.26
10/29/2001,9.72,2.40,26.30,0.11,23.50,33.75,3.37
01/29/2014,9.72,1.40,21.10,0.01,15.30,33.58,4.15
04/11/2002,9.73,2.07,27.20,0.03,22.10,33.83,3.01
04/01/2006,9.73,2.10,23.00,0.13,20.60,33.79,3.54
11/12/2007,9.73,1.75,27.40,0.00,23.00,33.41,3.13
10/31/2015,9.73,1.55,22.80,0.04,16.40,33.52,3.79
07/15/2002,9.74,1.81,22.30,0.03,20.50,33.49,3.84
02/06/2012,9.74,1.76,28.00,0.11,23.00,33.90,2.80
07/21/2001,9.75,2.40,31.60,0.14,26.80,34.21,2.58
05/01/2005,9.75,2.74,41.30,0.01,28.50,33.88,1.28
01/24/2010,9.75,1.58,30.00,0.20,20.50,33.80,3.47
02/07/2012,9.75,1.76,27.80,0.10,23.00,33.89,2.81
01/26/2015,9.75,2.19,34.70,0.01,24.80,34.03,2.39
11/15/2016,9.75,1.94,35.50,0.06,24.60,33.54,2.26
04/03/2014,9.76,1.65,27.00,0.03,16.60,33.84,3.11
10/31/2010,9.77,1.84,29.00,0.03,22.30,33.90,2.79
01/26/2002,9.79,2.31,27.50,0.02,24.10,33.61,3.14
10/30/2010,9.79,1.84,28.90,0.03,22.30,33.90,2.81
07/15/2014,9.80,1.65,31.10,0.00,24.60,33.87,2.80
07/22/2009,9.81,1.02,14.00,0.01,13.10,33.43,4.90
01/23/2010,9.81,1.56,29.50,0.20,20.20,33.80,3.53
07/27/2011,9.81,1.73,29.00,0.08,22.80,33.89,2.92
07/20/2012,9.81,1.83,29.90,0.00,26.90,33.90,2.58
01/13/2013,9.81,1.53,27.10,0.00,18.20,33.83,2.97
07/24/2016,9.81,0.96,18.30,0.01,8.20,33.38,4.19
01/19/2017,9.82,1.56,28.40,0.07,22.70,33.56,2.78
04/01/2002,9.83,2.45,33.10,0.00,26.30,33.65,2.16
01/20/2007,9.84,1.49,22.80,0.05,21.10,33.69,4.02
04/01/2012,9.85,1.85,30.00,0.00,28.50,33.93,2.64
07/24/2004,9.86,2.28,28.50,0.01,23.90,33.64,2.89
11/04/2015,9.86,1.40,18.60,0.13,11.50,33.54,4.05
06/29/2000,9.88,1.92,52.00,0.00,24.70,33.94,2.76
04/05/2007,9.88,0.97,13.00,0.13,11.50,33.23,5.15
11/14/2017,9.88,1.28,23.90,0.01,18.60,33.63,2.86
07/16/2019,9.88,2.00,26.40,0.10,21.10,33.75,3.50
01/24/2013,9.89,1.22,25.80,0.01,17.00,33.80,3.14
10/19/2000,9.90,1.87,48.00,0.00,24.00,33.99,2.97
01/13/2011,9.91,1.57,23.30,0.05,24.80,33.77,3.23
04/06/2012,9.91,1.79,28.50,0.00,27.70,33.85,2.79
01/06/2017,9.94,1.42,23.20,0.03,19.80,33.65,3.37
04/07/2002,9.95,2.49,34.30,0.01,25.80,34.16,2.04
01/07/2008,9.97,1.46,22.30,0.08,19.90,33.62,3.77
01/24/2011,9.97,1.74,25.70,0.04,23.20,33.71,3.09
01/29/2012,9.98,1.74,28.10,0.00,26.50,33.82,2.88
07/21/2012,9.98,1.68,27.20,0.00,24.20,33.86,2.68
07/09/2002,9.99,1.60,17.70,0.04,17.50,33.49,4.27
08/14/2008,10.00,1.05,11.00,0.06,9.00,33.76,5.00
02/09/2012,10.00,1.69,25.30,0.10,22.10,33.80,3.08
11/03/2012,10.00,1.84,29.50,0.04,25.40,33.94,2.59
04/10/2001,10.01,1.55,38.00,0.00,23.40,33.87,3.66
07/20/2001,10.01,2.07,26.70,0.16,24.10,34.22,3.11
10/29/2010,10.01,1.81,26.80,0.05,21.90,33.85,3.08
07/14/2016,10.01,1.08,15.90,0.03,13.40,33.54,4.45
04/07/2006,10.02,1.79,23.00,0.16,17.90,33.65,3.93
01/15/2015,10.02,1.76,34.40,0.03,24.30,33.75,2.11
01/14/2016,10.03,1.20,16.60,0.06,10.30,33.55,4.44
01/08/2001,10.04,1.34,23.00,0.00,14.20,33.59,4.77
02/07/2002,10.04,2.42,31.40,0.03,25.40,33.88,2.23
04/07/2002,10.04,2.49,34.00,0.01,25.70,34.16,2.02
07/23/2012,10.05,1.63,26.00,0.00,23.10,33.85,2.72
02/14/2003,10.06,1.83,23.10,0.05,21.10,33.90,3.40
11/13/2007,10.06,1.38,19.20,0.03,17.10,33.34,4.17
03/31/2002,10.07,2.21,28.30,0.01,24.30,33.59,2.59
04/11/2002,10.07,1.87,22.60,0.08,20.10,33.74,3.46
10/29/2006,10.07,1.67,25.40,0.03,22.50,33.59,3.55
04/02/2014,10.08,1.51,22.00,0.03,14.30,33.69,3.55
02/06/2002,10.10,2.38,31.00,0.04,25.00,33.82,2.30
08/07/2011,10.10,0.92,9.00,0.13,11.40,33.58,4.97
01/19/2007,10.11,1.44,21.00,0.07,20.00,33.66,4.22
04/11/2001,10.12,2.32,63.00,0.00,32.20,34.25,2.11
03/10/2009,10.12,0.83,11.00,0.01,9.00,33.40,5.11
02/05/2002,10.13,2.31,30.40,0.04,23.70,33.76,2.36
10/21/2006,10.13,0.60,6.70,0.04,5.30,33.08,5.60
04/14/2015,10.13,1.16,17.00,0.02,14.20,33.57,4.23
04/13/2003,10.15,1.75,21.80,0.02,19.60,33.82,3.52
04/24/2003,10.15,2.61,35.50,0.00,26.80,33.68,1.90
11/04/2012,10.15,1.77,26.90,0.07,23.90,33.90,2.72
02/15/2003,10.16,2.25,31.00,0.14,25.60,34.04,2.24
01/28/2012,10.16,1.67,25.70,0.00,25.10,33.77,3.04
08/08/2011,10.17,0.92,9.00,0.15,11.30,33.56,5.05
11/10/2019,10.17,2.03,30.30,0.01,22.40,33.78,2.78
